x   positron_err  relative_err
0.171209  0.000918206  0.000976762
0.19  0.000485528  0.000523064
0.22  0.000249205  0.000273113
0.25  0.00015115  0.000167452
0.29  0.000117397  0.000132213
0.33  0.000111119  0.000126348
0.36  0.000141948  0.000161935
0.385  0.000133087  0.000156251
0.43  9.81891e-05  0.000116015
0.48  9.42108e-05  0.000114192
0.51  8.77359e-05  0.000106649
0.55  6.75538e-05  8.30042e-05
0.59  5.59067e-05  6.92899e-05
0.63  4.19194e-05  5.24459e-05
0.67  4.08348e-05  5.15588e-05
0.7  2.76728e-05  3.48915e-05
0.74  1.99521e-05  2.57122e-05
0.78  1.62727e-05  2.05776e-05
0.82  1.26418e-05  1.6054e-05
